state,medicaid_aba_pathway,medicaid_agency,prior_auth,autism_insurance_mandate,typical_hours,medicaid_rate,waiver_programs,bcba_licensure,sources
Massachusetts,MassHealth ABA Benefit under EPSDT for members under 21 (Standard/CommonHealth; under 19 for Family Assistance); FFS or via MassHealth plans/ACOs; MBHP administers behavioral health for the PCC plan,MassHealth (Executive Office of Health and Human Services); mass.gov/masshealth; 800-841-2900,"PA required: provider submits an autism diagnostic evaluation plus a BCBA-developed treatment plan (assessment results, goals, requested hours) to MassHealth/MBHP or the member's plan","ARICA, enacted 2010 (effective Jan 1, 2011): state-regulated plans must cover medically necessary ASD treatment incl. ABA with no age, dollar, or visit caps; self-funded ERISA plans exempt","No state-published standard; providers report ~10-25 hrs/wk focused and 26-40 hrs/wk comprehensive, set by BCBA plan and medical necessity (verify)","97153 = $16.37/15-min unit (~$65.48/hr) under 101 CMR 358.00, eff. Oct 2024 (verify against current 358.00 schedule)",DDS Children's Autism Waiver Program (birth through age 9); DDS Adult Autism Waiver,"Yes — Licensed Applied Behavior Analyst (LABA); law enacted 2013 (M.G.L. c.112 §§163-172), licensing effective 2015; Board of Registration of Allied Mental Health and Human Services Professions",https://www.mass.gov/regulations/101-CMR-35800-rates-for-applied-behavior-analysis | https://www.mass.gov/dds-childrens-autism-waiver-service-program-overview | https://www.mass.gov/orgs/board-of-registration-of-allied-mental-health-and-human-services-professions
Michigan,"Michigan Medicaid Autism Benefit — Behavioral Health Treatment (ABA) under EPSDT for under-21 with ASD, delivered through regional PIHPs and county CMHSPs (families enter via their local CMHSP)","Michigan Dept of Health and Human Services (MDHHS), Behavioral Health and Developmental Disabilities Admin; michigan.gov/autism; Beneficiary Help Line 800-642-3195 (verify)",CMHSP arranges a comprehensive diagnostic evaluation (ADOS-2 plus clinical interview) by a qualified licensed practitioner; the CMHSP/PIHP then authorizes ABA hours under an individual plan of service/behavioral plan of care,"2012 PA 99/100 (eff. 10/15/2012), coverage through age 18; statutory annual caps ($50K/$40K/$30K by age) removed for fully insured plans by DIFS in 2014 under ACA/parity rules","~5-25 hrs/wk by medical necessity: focused ~5-15 hrs/wk, comprehensive ~16-25 hrs/wk (CMHSP/MDHHS best-practice guidance)","97153 = $16.50/15-min unit ($66.00/hr), state-directed minimum for PIHPs eff. Nov 1, 2024 (MDHHS L-25-78; CMS SPA MI-24-0022); older FFS screens ~$13.50/unit","Children's Waiver Program (CWP, ages 0-17); Habilitation Supports Waiver (HSW); Waiver for Children with Serious Emotional Disturbance (SEDW) — all accessed via the local CMHSP","Yes — 2016 PA 403; Michigan Board of Behavior Analysts under LARA; licensure mandatory to practice since Jan 7, 2020",https://www.michigan.gov/autism/insurance | https://www.michigan.gov/mdhhs/-/media/Project/Websites/mdhhs/Assistance-Programs/Medicaid-BPHASA/2025-L-Letters/Numbered-Letter-L-25-78-DCW.pdf | https://www.michigan.gov/lara/bureau-list/bpl/health/hp-lic-health-prof/behavior-analyst
Minnesota,"EIDBI (Early Intensive Developmental and Behavioral Intervention) benefit under Medical Assistance (Minn. Stat. 256B.0949) for under-21 with ASD or related conditions; ABA is one of several approved modalities (also ESDM, DIR/Floortime, PLAY Project)","Minnesota Dept of Human Services (DHS), Minnesota Health Care Programs (MHCP); mn.gov/dhs EIDBI page; 651-431-2700 / 800-366-5411",CMDE (Comprehensive Multi-Disciplinary Evaluation) establishes medical necessity; provider submits the Individual Treatment Plan (DHS-7109) plus CMDE for authorization to the DHS medical review agent (FFS) or the member's managed-care plan,"2013 law (Minn. Stat. 62A.3094): state-regulated large-group plans (50+ employees) must cover autism treatment incl. ABA/EIBI for children under 18, no dollar caps; self-insured plans exempt","Individualized by ITP; intensive EIDBI commonly 20-40 hrs/wk, max 40 hrs/wk for young children, ~10 hrs/wk minimum to count as intensive (verify)","EIDBI individual intervention billed as 97153 (UB modifier) = $20.17/15-min unit (~$80.68/hr), MHCP fee schedule eff. 1/1/2024 at 100% for Level I providers (Level II 80%, Level III 50%) (verify current-year)",DD Waiver; CADI Waiver; also BI and CAC waivers and MA-TEFRA (Katie Beckett) for children — apply via county/tribal agency,"Yes — Licensed Behavior Analyst effective Jan 1, 2025 (Minn. Stat. 148.9981-148.9995), Minnesota Board of Psychology; before 2025 no state license (EIDBI used QSP provider qualifications)",https://mn.gov/dhs/partners-and-providers/news-initiatives-reports-workgroups/long-term-services-and-supports/eidbi/eidbi.jsp | https://www.revisor.mn.gov/statutes/cite/62A.3094 | https://mn.gov/boards/psychology/applicants/apply-lba/
Mississippi,"EPSDT benefit for under-21 (Miss. Admin. Code Title 23, Part 223, Rule 6.3; ASD services added via SPA 16-0020); most children served through MississippiCAN CCOs — Magnolia Health, Molina Healthcare, TrueCare (TrueCare replaced UnitedHealthcare 7/1/2025)","Mississippi Division of Medicaid (DOM), Office of the Governor; medicaid.ms.gov; 800-421-2408; MESA portal","Requires an autism diagnosis by a physician or licensed psychologist plus prior authorization of a treatment plan developed/supervised by a MS-licensed behavior analyst (LBA/BCBA), submitted by the provider to the CCO or DOM's UM/QIO (vendor name verify)","HB 885 (2015, eff. July 15, 2015; Miss. Code §83-9-26): ABA capped at 25 hrs/wk, not required beyond age 8, no dollar cap; some insurers voluntarily removed age caps; Medicaid EPSDT (to 21) NOT subject to these caps",No Medicaid-published range — hours set per authorized EPSDT treatment plan (verify); commercial mandate benchmark is up to 25 hrs/wk,"97153 = $15.08/15-min unit ($60.32/hr), DOM ASD fee schedule, rate eff. 12/1/2025 (PA required); 97151 $34.18, 97155/97156 $24.35 per unit","ID/DD Waiver (1915(c), MS Dept of Mental Health Bureau of IDD; multi-year waitlist); 1915(i) IDD Community Support Program","Yes — 2015 (enacted with HB 885, eff. July 1, 2015); Mississippi Autism Board licenses Behavior Analysts (master's + active BCBA required) and Assistant Behavior Analysts",https://medicaid.ms.gov/providers/fee-schedules-and-rates/ | https://www.mid.ms.gov/mississippi-insurance-department/healthcare/autism/ | https://www.msautismboard.ms.gov/
Missouri,"MO HealthNet state-plan ABA for under-21 (EPSDT/Healthy Children and Youth) with ASD diagnosis per 13 CSR 70-98.030; FFS or via managed care — Home State Health, Healthy Blue, UnitedHealthcare, plus Show Me Healthy Kids","MO HealthNet Division, Missouri Dept of Social Services; mydss.mo.gov/mhd; Participant Services 800-392-2161 (verify phone)",Provider submits precertification (form 2575-045) to MHD with a physician/psychologist ASD diagnosis plus the licensed behavior analyst's assessment and treatment plan; each precert covers up to 180 days; managed-care members use their plan's PA process,"HB 1311 (2010, eff. Jan 1, 2011): state-regulated plans cover ASD treatment incl. ABA to age 18; $40,000/yr ABA cap is inflation-adjusted annually ($57,311 for 2025)","Not published — regs require individualized hours based on age, school attendance, daily activities; ~10-25 hrs/wk focused / 26-40 comprehensive per national practice guidelines (verify)",97153 eff. 7/1/2024 (tiered): $20.13/15-min unit ($80.52/hr) LBA/LaBA-supervised tier (HO/HN); $16.37/unit ($65.48/hr) RBT-delivered (HM) — MHD Bulletin Vol. 47 No. 09,"DMH Division of DD waivers: Comprehensive Waiver; Community Support Waiver; MO Children with DD Waiver (MOCDD, Sarah Jian Lopez Waiver); Partnership for Hope","Yes — 2010 (HB 1311; RSMo 337.300-337.345); Behavior Analyst Advisory Board under the State Committee of Psychologists, Division of Professional Registration",https://dss.mo.gov/mhd/behavioral-health-services | https://dss.mo.gov/sites/mydss/files/media/pdf/2024/08/ABA-Rate-Increase-Bulletin-FY25-4709.pdf | https://insurance.mo.gov/autism-and-related-insurance-resources/autism-report-aba-limits
Montana,Covered as a state-plan/EPSDT benefit for members age 20 and under with ASD (SED to 17); fee-for-service through Montana Healthcare Programs — no MCOs; governed by the Montana Medicaid Applied Behavior Analysis Services Manual,Montana DPHHS — Behavioral Health and Developmental Disabilities Division; Montana Healthcare Programs provider portal (medicaidprovider.mt.gov),"The directing BCBA submits prior authorization: an Intent to Initiate Treatment form plus a physician/licensed mental health professional prescription, diagnostic evaluation, behavior identification assessment, and a treatment plan with quantifiable goals; re-auth via Additional Units of Service Request after the initial 180 days","Enacted 2009 (SB 234, eff. 1/1/2010); covers ages 18 and under; statutory caps of $50,000/yr through age 8 and $20,000/yr ages 9-18 remain in MCA 33-22-515 but are generally unenforceable under federal parity (MHPAEA)","Initial authorization = 1,260 15-min units per 180 days (~315 hrs, ~12 hrs/wk average); more via re-authorization (verify)","97153 = $11.36/15 min (~$45.44/hr), ABA fee schedule eff. 7/1/2025",0208 Comprehensive DD Waiver (Developmental Disabilities Program); Big Sky Waiver; former Children's Autism Waiver ended — ABA moved to the state-plan benefit (verify end year),Yes — licensed since 2017 (SB 193) under the Montana Board of Psychologists,https://medicaidprovider.mt.gov/manuals/appliedbehavioranalysisservicesmanual; https://medicaidprovider.mt.gov/docs/feeschedules/2025/FinalABAFeeScheduleEffJuly2025.pdf; https://archive.legmt.gov/bills/mca/title_0330/chapter_0220/part_0050/section_0150/0330-0220-0050-0150.html
Nebraska,"Covered under EPSDT for children under 21 with ASD, delivered through the Heritage Health managed-care program — MCOs Nebraska Total Care, UnitedHealthcare Community Plan of Nebraska, and Molina Healthcare of Nebraska administer the benefit (final ABA service definitions eff. 2/7/2025)",Nebraska DHHS — Division of Medicaid and Long-Term Care (Heritage Health program; dhhs.ne.gov),"Provider/BCBA obtains prior authorization from the member's Heritage Health MCO; requires an ASD diagnosis from a qualified provider, comprehensive diagnostic evaluation, and a BCBA-developed treatment plan (verify per-MCO forms)","Enacted 2014 (LB 254, eff. 1/1/2015); covers individuals under 21; caps ABA at 25 hrs/wk (no dollar cap) — hour/age limits generally unenforceable under federal parity (MHPAEA)",Up to 25 hrs/wk cited in the commercial mandate; Medicaid hours set by MCO medical-necessity review (verify),97153 = $18.70/15 min (~$74.80/hr) eff. 8/1/2025 (a ~48% cut from $36.11/unit per DHHS Health Plan Advisory 25-08),"Comprehensive Developmental Disabilities Waiver; Family Support Waiver (children, ~$10,000/yr budget); DD Adult Day Waiver",Yes — Behavior Analyst Practice Act enacted 2023 (LB 227); licensure through Nebraska DHHS Division of Public Health (licenses issued from Sept 2024),https://dhhs.ne.gov/Guidance%20Docs/Health%20Plan%20Advisory%2025-08%20-%20Applied%20Behavior%20Analysis%20Rates.pdf; https://nebraskalegislature.gov/FloorDocs/108/PDF/Slip/LB227.pdf; https://dhhs.ne.gov/licensure/Pages/Behavior-Analyst.aspx
Nevada,"Covered since 1/1/2016 under EPSDT for members under 21 with ASD (Medicaid Services Manual Ch. 3700; provider type 85), with coverage extended to adults in recent MSM updates (verify); available fee-for-service and through MCOs (Health Plan of Nevada, Anthem/Community Care, SilverSummit, Molina) in mandatory managed-care counties",Nevada DHHS — Division of Health Care Financing and Policy (DHCFP); Nevada Medicaid portal medicaid.nv.gov / nevadamedicaid.nv.gov,"Prior authorization required before treatment: qualifying standardized diagnostic evaluation for ASD, functional assessment, and a treatment plan developed and overseen by a licensed psychologist or licensed behavior analyst (BCBA), submitted through Nevada Medicaid/the MCO","Enacted 2009 (AB 162, eff. 1/1/2011); covers under 18 (to 22 if enrolled in high school); statutory $36,000/yr ABA cap — dollar/age caps generally unenforceable under federal parity (MHPAEA)",not published (verify),"97153 = $13.01/15 min (~$52/hr) RBT-delivered (UD modifier, eff. 1/1/2022); $30.10/15 min (~$120.40/hr) at licensed-analyst specialty level (eff. 3/10/2025) — official PT-85 fee schedule (data as of 07/2026)",HCBS Waiver for Persons with Intellectual and Developmental Disabilities (ADSD); Katie Beckett Eligibility Option (TEFRA),"Yes — behavior analysts regulated since 2009 (AB 162, under Board of Psychological Examiners); independent Nevada Applied Behavior Analysis Board (NRS 641D) since 10/1/2021",https://www.nevadamedicaid.nv.gov/siteassets/content/resources/adminsupport/manuals/msm/c3700/MSM_3700_24_04_01.pdf; https://www.nevadamedicaid.nv.gov/resources/rates/fee-schedules/; https://www.nvababoard.org/about-the-board/
New Hampshire,"Covered for members under 21 as medically necessary under EPSDT (unbundled ABA codes since 5/1/2019); delivered through Medicaid Care Management MCOs — AmeriHealth Caritas NH, NH Healthy Families, and WellSense Health Plan",NH DHHS — Division of Medicaid Services (NH MMIS portal nhmmis.nh.gov; Provider Relations (866) 291-1674),"All ABA treatment requires service authorization from the member's MCO (InterQual criteria adopted 2026): ASD diagnostic evaluation plus a treatment plan covering direct treatment, supervision, and parent training components (verify per-MCO documentation)","Enacted 2010 (HB 569, ""Connor's Law,"" eff. 1/1/2011); covers ages 0-21; caps of $36,000/yr through age 12 and $27,000/yr ages 13-21 — dollar/age caps generally unenforceable under federal parity (MHPAEA)",not published (verify),97153 = $15.00/15 min at 2019 unbundling; ~$17.79/15 min (~$71/hr) per 2026 rate trackers — not published in an easily accessible schedule (verify via NH MMIS),In Home Supports Waiver for Children with Developmental Disabilities (ages 0-21); Developmental Disabilities Waiver; Home Care for Children with Severe Disabilities (Katie Beckett-type),No state licensure law — practice under national BACB certification (per BACB U.S. licensure list),https://www.dhhs.nh.gov/programs-services/disability-care/developmental-services/home-and-community-based-services-waivers; https://nhmmis.nh.gov/portals/wps/wcm/connect/bb98ad31-2979-47e3-9ef2-ead73c3fae2c/ABA+Services+Provider+Notice+-+8-4-2025.pdf; https://www.insurance.nh.gov/consumers/health-insurance/applied-behavioral-analysis-therapy
New Jersey,"NJ FamilyCare ABA benefit launched 4/1/2020 under EPSDT for members under 21 with ASD; administered entirely through the five NJ FamilyCare MCOs — Aetna Better Health, Fidelis Care NJ (formerly WellCare), Horizon NJ Health, UnitedHealthcare Community Plan, and Wellpoint (formerly Amerigroup)","NJ Department of Human Services — Division of Medical Assistance and Health Services (DMAHS); NJ FamilyCare, 1-800-701-0710",The ABA provider obtains prior authorization from the member's MCO for assessment (97151) and treatment codes: requires an ASD diagnosis from a comprehensive diagnostic evaluation (physician/psychologist) and a BCBA-developed treatment plan,"Enacted 2009 (P.L. 2009 c.115, eff. 2/9/2010) — first state to also cover other developmental disabilities; under 21; original $36,000/yr ABA cap (inflation-indexed) rendered unenforceable under federal parity per DOBI Bulletin 10-02",not published — set by MCO medical-necessity review (verify),97153 = $15.00/15 min (~$60/hr) FFS reference rate; MCO-contracted rates vary (verify),No autism-specific waiver — ABA is a state-plan MCO benefit; Children's System of Care (PerformCare) programs for youth with I/DD-ASD; DDD Supports Program and Community Care Program at 21+ (all under NJ's 1115 Comprehensive Demonstration),Yes — licensed since 2019 (P.L. 2019); NJ State Board of Applied Behavior Analyst Examiners (Division of Consumer Affairs),https://autismnj.org/news/the-road-to-medicaid-coverage-of-aba/; https://nj.gov/dobi/bulletins/blt10_02.pdf; https://www.bacb.com/u-s-licensure-of-behavior-analysts/
New Mexico,"Covered under EPSDT via Turquoise Care (Medicaid managed care since July 2024); three-stage ABA benefit (Stage 1 diagnostic eval, Stage 2 assessment/Integrated Service Plan, Stage 3 treatment) per NMAC 8.321.2.13; delivered through MCOs BCBS of NM, Molina, and Presbyterian; covers ages 12 months-21, including at-risk children 12-36 months before formal diagnosis","New Mexico Health Care Authority (HCA), Medical Assistance Division, (505) 827-3100; fee schedules at hca.nm.gov",Autism Evaluation Practitioner (licensed psychologist or qualified physician) completes Comprehensive Diagnostic Evaluation and Integrated Service Plan; BCBA develops treatment plan; direct treatment (97153) requires prior authorization renewed every 6 months (evals/assessments do not),"Enacted 2009 (SB 39, effective Jan 2010); originally capped at age 19 (22 if in high school), $36,000/yr and $200,000 lifetime; HB 322 (2019) removed age and dollar caps","Not state-published; hours individualized in the ISP/treatment plan (industry norm ~10-25 hrs/wk focused, 26-40 hrs/wk comprehensive) (verify)","97153 tiered by renderer (per 15 min, FFS eff. 1/1/25): behavior technician $19.85 (~$79.40/hr), BCaBA $23.35, BCBA $32.31 (~$129.24/hr); MCOs may not pay below FFS rate","Developmental Disabilities (DD) Waiver, Mi Via Self-Directed Waiver, Medically Fragile Waiver (Supports Waiver ended June 2026)",No state licensure law; BACB certification (BCBA/BCaBA) required by Medicaid to render ABA,https://www.hca.nm.gov/providers/aba-applied-behavior-analysis-provider-information/; https://www.hca.nm.gov/wp-content/uploads/FInal-LOD-53-Applied-Behavioral-Analysis-ABA-Fee-Schedule-Rates.pdf; https://www.autismspeaks.org/new-mexico-state-regulated-insurance-coverage
New York,"Covered under EPSDT for members under 21 with ASD (or Rett syndrome) diagnosis; carved into Medicaid Managed Care plans effective Jan 1, 2023 (FFS via eMedNY otherwise); delivered by NYS Licensed Behavior Analysts; not reimbursable in school settings","New York State Department of Health, Office of Health Insurance Programs (NY Medicaid); Medicaid Helpline (800) 541-2831; claims via eMedNY","Referral/order from a NYS-licensed Medicaid-enrolled physician, psychologist, psychiatric/pediatric NP, or PA; LBA completes assessment and treatment plan; authorization through the member's managed care plan (or FFS)","Enacted Nov 2011 (S.4005-A/A.6305-A, effective Nov 2012); no age cap; regulation caps ABA at 680 hours/yr (originally $45,000/yr equivalent); caps generally unenforceable under federal mental health parity (verify)",Commercial mandate caps ABA at 680 hrs/yr (~13 hrs/wk); Medicaid hours individualized to treatment plan (industry norm 10-40 hrs/wk),"97153 = $14.45/15 min (~$57.80/hr) effective Apr 1, 2026, after phased 25% reduction from $19.26 (was $16.85 from Oct 2025) (verify current tranche)","OPWDD Home and Community-Based Services (HCBS) Waiver; NYS Children's Waiver (child's own income counted, unlocks Medicaid regardless of parent income)","Yes; Licensed Behavior Analyst (LBA) license created 2014, administered by NYS Education Department Office of the Professions (State Board for Applied Behavior Analysis)",https://www.health.ny.gov/health_care/medicaid/; https://www.op.nysed.gov/professions/licensed-behavior-analysts; https://www.autismspeaks.org/new-york-state-regulated-insurance-coverage
North Carolina,"Covered as Research-Based Behavioral Health Treatment (RB-BHT) for ASD under Clinical Coverage Policy 8F, via EPSDT for beneficiaries under 21 (adults 21+ possible if medically necessary); accessed through NC Medicaid Managed Care Standard Plans, Behavioral Health I/DD Tailored Plans, or LME/MCOs","NC Department of Health and Human Services, Division of Health Benefits (NC Medicaid); Medicaid Contact Center (888) 245-0179 (verify); provider portal NCTracks","Provider must obtain prior approval before rendering RB-BHT: Licensed Qualified Autism Service Provider (LQASP, e.g. licensed BCBA/psychologist) submits comprehensive diagnostic assessment plus a measurable treatment plan to the health plan/LME-MCO; plan reviewed at least every 6 months","Enacted Oct 2015 (SB 676, effective July 2016); covers under age 19; adaptive behavior treatment capped at $40,000/yr (CPI-adjusted; cap still in place)","Not state-published; hours individualized to authorized treatment plan (industry norm ~10-25 focused, 26-40 comprehensive hrs/wk) (verify)",97153 = $20.81/15 min (~$83.24/hr); Oct 2025 10% budget cut was restored to prior levels Jan 2026,"NC Innovations Waiver (I/DD, long waitlist); CAP/C (Community Alternatives Program for Children)","Yes; Behavior Analyst Licensure Act (SB 103) signed May 2021, creating the NC Behavior Analyst Licensure Board (NCBALB); licenses issued since July 2023",https://medicaid.ncdhhs.gov/8f-research-based-behavioral-health-treatment-rb-bht-autism-spectrum-disorder-asd; https://www.autismsociety-nc.org/faqs-related-to-sb-676-autism-health-insurance-coverage/; https://ncbehavioranalystboard.org/
North Dakota,Covered as the 'Autism ABA service' under EPSDT for children under 21 (fee-for-service; no MCOs); requires ASD diagnosis from PCP/qualified provider plus a current ND Health Tracks (EPSDT) screening recommending ABA; separate Medicaid Autism Spectrum Disorder waiver adds family supports,"North Dakota Health and Human Services, Medical Services Division (ND Medicaid), (800) 755-2604; Autism Services unit within HHS",Family obtains annual approval letter from ND Medicaid (PCP diagnosis + Health Tracks screening recommending ABA); provider agency then submits web-based service authorization twice yearly (annual + 180-day update) with BCBA-written care plan justifying hours per week,"No statute; ND Insurance Department bulletin (July 2018, compliance by Jan 1, 2019) requires state-regulated plans to cover autism treatment incl. ABA at parity with medical/surgical benefits (48th state); no specific age/dollar caps in bulletin","Not state-published; hours requested per care plan with justification, majority delivered by RBT; 6-month progress reviews (verify)",Not clearly published; third-party compilation lists 97153 at $10.60/15 min (~$42.40/hr) (verify against ND HHS fee schedule portal),"Medicaid Autism Spectrum Disorder Waiver (birth through age 17; expanded to birth through age 20 effective Nov 1, 2025); DD (Traditional IID/DD) Waiver","Yes; licensure enacted 2011 (SB 2155, NDCC ch. 43-32); Applied Behavior Analyst licensing now under the ND Board of Integrative Health Care (verify board history)",https://www.hhs.nd.gov/sites/www/files/documents/autism-aba-service-policy-and-procedures.pdf; https://www.hhs.nd.gov/cfs/autism-services; https://www.autismspeaks.org/north-dakota-state-regulated-insurance-coverage
Ohio,"Covered for under-21s via EPSDT (Healthchek) medical-necessity pathway — ABA never codified as a distinct Medicaid rule benefit (verify); accessed through Next Generation managed care plans (CareSource, Buckeye, etc.) or OhioRISE (Aetna specialty plan for children with complex behavioral health needs, adds care coordination and respite)",Ohio Department of Medicaid; Consumer Hotline (800) 324-8680; provider info at medicaid.ohio.gov,Prior authorization required for all ABA codes: provider submits DSM-5-TR-based comprehensive diagnostic evaluation by a qualified diagnosing practitioner plus individualized treatment plan and medical-necessity justification to the member's managed care plan or OhioRISE,"Enacted Jan 2017 (HB 463, one of the last states); fully insured plans cover ages 0-14 with ABA limited to 20 hrs/wk (marketplace plans 0-21); age/hour caps generally unenforceable under federal mental health parity",Commercial mandate lists 20 hrs/wk ABA limit; Medicaid hours individualized to treatment plan (industry norm 10-40 hrs/wk) (verify),97153 = ~$16.04/15 min (~$64.16/hr) FFS per third-party rate tracker (verify on ODM fee schedule); managed care plans negotiate own rates,"DODD waivers: Individual Options (IO), Level One, and SELF (self-directed) — all with county waitlists; OhioRISE 1915(c) waiver for children with complex needs","No traditional license; Certified Ohio Behavior Analyst (COBA) credential created 2013 (ORC ch. 4783), administered by the Ohio Board of Psychology; COBA required to bill Ohio Medicaid",https://medicaid.ohio.gov/resources-for-providers/billing/fee-schedule-and-rates/fee-schedule-and-rates; https://www.autismspeaks.org/ohio-state-regulated-insurance-coverage; https://dodd.ohio.gov/waivers-and-services
Oklahoma,Covered for members under 21 as an EPSDT benefit under SoonerCare (OAC 317:30-3-65.12); BCBAs contract directly with OHCA as SoonerCare providers,"Oklahoma Health Care Authority (OHCA); SoonerCare helpline 800-987-7767, provider line 800-522-0114","The contracted BCBA/provider submits a prior authorization to OHCA with a diagnostic evaluation and treatment plan; auths are granted in unit blocks for 1-6 months and reviewed by an OHCA reviewer, BCBA contractor and/or physician (OAC 317:30-5-314)","Enacted 2016 (HB 2962); originally capped ABA at 25 hrs/wk and $25,000/yr through roughly age 9; the Oklahoma Insurance Department declared those caps violations of federal parity law in 2021 and required their removal by end of 2021",Per medical necessity; authorized in 1-6 month unit blocks with no fixed weekly cap (verify exact range with OHCA),97153 = $17.35 per 15 min (~$69.40/hr) on the SoonerCare fee schedule (unchanged through 7/1/2026),"DDS (OKDHS) waivers: In-Home Supports Waiver for Children (ages 3-17), In-Home Supports Waiver for Adults, and the Community (HCBS) Waiver; long waiting list applies","Yes - one of the earliest states; behavior analyst licensure enacted 2009 (59 O.S. §1928), administered by the Oklahoma Licensed Behavior Analyst Board (OLBAB)",https://oklahoma.gov/ohca/policies-and-rules/xpolicy/medical-providers-fee-for-service/general-provider-policies/early-and-periodic-screening-diagnostic-and-treatment-program-child-health-services/applied-behavior-analysis-services.html; https://oklahoma.gov/ohca/providers/applied-behavioral-analysis-application.html; https://www.autismspeaks.org/oklahoma-state-regulated-insurance-coverage
Oregon,"Covered under the Oregon Health Plan (OHP) as an EPSDT/state-plan behavioral health benefit per HERC Prioritized List Guideline Note 75; most members access it through their Coordinated Care Organization (CCO), with fee-for-service (open card) auths handled by OHA's UM contractor","Oregon Health Authority (OHA), Health Systems Division; OHP Client Services 800-699-9075",Requires an ASD (or stereotypic movement disorder) diagnosis by an MD/DO/PhD/PsyD using standardized tools (e.g. ADOS); the ABA provider submits a treatment plan for prior authorization to the CCO or OHA's FFS UM contractor; initial assessment (97151) is retrospectively reviewed,"Enacted 2013 (SB 365), effective for plans from Jan 1 2016; requires a minimum of 25 hrs/wk of ABA coverage; the 25-hour and age-9 standards are statutory floors not caps and no dollar cap applies",Per individualized medical necessity under HERC Guideline Note 75; SB 365's 25 hrs/wk is the commercial coverage floor (verify typical authorized range),97153 = $14.70 per 15 min (~$58.80/hr) on the OHP Behavioral Health Fee Schedule (unchanged into 2026),"ODDS I/DD services via the 1915(k) Community First Choice K Plan (no waitlist for attendant supports) plus 1915(c) children's waivers incl. Children's Intensive In-Home Services (CIIS), Children's HCBS Waiver and the Children's Extraordinary Needs Waiver (2024); ABA itself is a state-plan OHP benefit","Yes - SB 365 (2013) created licensure effective 2015; Behavior Analysis Regulatory Board under OHA's Health Licensing Office licenses LBAs, LABAs and registers behavior analysis interventionists",https://www.oregon.gov/oha/hsd/ohp/pages/fee-schedule.aspx; https://www.oregon.gov/oha/ph/hlo/pages/board-behavior-analysis-regulatory.aspx; https://www.autismspeaks.org/oregon-state-regulated-insurance-coverage
Pennsylvania,"Covered for under-21s through Medical Assistance (Medicaid) EPSDT as Intensive Behavioral Health Services - ABA (IBHS-ABA, replaced BHRS in 2020); delivered through the HealthChoices behavioral health carve-out via county BH-MCOs (e.g. Magellan, Community Care Behavioral Health, PerformCare)","Pennsylvania Department of Human Services (DHS), Office of Mental Health and Substance Abuse Services (OMHSAS); DHS Helpline 800-692-7462","The IBHS agency submits an authorization request to the county BH-MCO with a written order from a physician/psychologist, a behavioral assessment and an individual treatment plan; certain IBHS require prior authorization per the Jan 2020 MA fee schedule notice","Act 62 enacted 2008 - first-in-nation autism mandate; $36,000/yr benefit maximum for individuals under 21; a Nov 2023 PA Insurance Department notice requires autism to be covered as a mental health condition under federal MHPAEA parity from Jan 1 2024, effectively superseding the dollar/age caps",Not standardized; hours set by the prescriber's order and BH-MCO medical-necessity review (verify),97153 = $12.73 per 15 min (~$50.92/hr) on the MA fee-for-service schedule; BH-MCO contracted rates vary,"ODP waivers serving autism/ID: Consolidated, Community Living and Person/Family Directed Support (P/FDS) waivers; autism-specific adult programs: Adult Autism Waiver (AAW) and Adult Community Autism Program (ACAP)",Partial - Act 62 (2008) created the Behavior Specialist license under the State Board of Medicine; PA licenses Behavior Specialists rather than a dedicated LBA credential and BCBA certification is not required for that license,https://www.pa.gov/agencies/dhs/resources/medicaid/bhc/ibhs; https://www.pa.gov/agencies/dhs/resources/intellectual-disabilities-autism/autism-services/pa-autism-insurance-act-62; https://www.pacodeandbulletin.gov/Display/pabull?file=/secure/pabulletin/data/vol50/50-5/162.html
Rhode Island,"Covered under Medicaid EPSDT for members under 21; ABA is delivered by EOHHS-approved providers (incl. the Home Based Therapeutic Services/HBTS program) and accessed through RIte Care managed care plans - Neighborhood Health Plan of RI, UnitedHealthcare Community Plan and Tufts Health Public Plan",Rhode Island Executive Office of Health and Human Services (EOHHS); Medicaid customer service 401-462-5300,Prior authorization is required for HBTS/ABA services; the provider submits the request (via the MCO or Gainwell Technologies for FFS) with a diagnostic evaluation and individualized treatment plan,"Enacted 2011 (H 5275 Sub A), effective Jan 1 2012; ABA capped at $32,000/yr for children under 15; those dollar/age caps are unenforceable under the federal MHPAEA parity law",Not standardized in published policy; based on medical necessity (verify),Not published in the current EOHHS fee schedule for 97153 - a 2021 EOHHS document listed $17.50 per 30-min unit (~$35/hr) and actual rates are MCO-negotiated (verify),"Rhode Island runs a single 1115 demonstration (Global Waiver) rather than separate autism waivers; children access Medicaid via Katie Beckett eligibility and services incl. HBTS, Kids Connect and PASS",Yes - licensure enacted 2012 (S 2559; R.I. Gen. Laws ch. 5-86); Applied Behavior Analyst Licensing Board within the RI Department of Health licenses applied behavior analysts and assistant analysts,https://eohhs.ri.gov/consumer/families-children/childrens-services; https://health.ri.gov/licensing/behavioral-analysis; https://www.autismspeaks.org/rhode-island-state-regulated-insurance-coverage
